,0
0,2
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,2
9,2
10,2
11,2
12,2
13,2
14,0
15,0
16,2
17,2
18,2
19,2
20,2
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,2
29,2
30,2
31,2
32,2
33,2
34,0
35,2
36,2
37,2
38,2
39,2
40,0
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,0
49,2
50,2
51,0
52,0
53,2
54,2
55,2
56,2
57,0
58,2
59,0
60,0
61,0
62,0
63,0
64,2
65,0
66,2
67,0
68,2
69,0
70,0
71,0
72,2
73,0
74,2
75,0
76,2
77,2
78,2
79,2
80,0
81,0
82,1
83,0
84,2
85,0
86,0
87,2
88,2
89,2
90,2
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,2
102,0
103,2
104,0
105,0
106,0
107,0
108,2
109,0
110,0
111,0
112,0
113,2
114,0
115,2
116,0
117,2
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,2
128,0
129,0
130,2
131,0
132,2
133,1
134,0
135,0
136,0
137,0
138,2
139,0
140,2
141,0
142,0
143,0
144,0
145,2
146,0
147,0
148,0
149,0
150,2
151,2
152,0
153,2
154,2
155,0
156,0
157,0
158,0
159,0
160,0
161,2
162,0
163,0
164,0
165,0
166,2
167,0
168,0
169,2
170,0
171,2
172,0
173,0
174,0
175,2
176,0
177,0
178,0
179,0
180,0
181,0
182,2
183,2
184,2
185,2
186,2
187,0
188,0
189,2
190,1
191,2
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,2
202,0
203,0
204,2
205,2
206,2
207,2
208,0
209,0
210,2
211,2
212,0
213,0
214,2
215,0
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,0
224,2
225,0
226,0
227,2
228,0
229,0
230,2
231,2
232,0
233,2
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,2
243,0
244,0
245,0
246,0
247,2
248,2
249,0
250,0
251,2
252,0
253,2
254,2
255,0
256,2
257,0
258,0
259,2
260,0
261,0
262,2
263,2
264,0
265,0
266,0
267,2
268,0
269,0
270,0
271,0
272,2
273,0
274,2
275,0
276,0
277,2
278,0
279,2
280,2
281,2
282,0
283,0
284,0
285,2
286,2
287,0
288,2
289,2
290,2
291,2
292,0
293,0
294,0
295,0
296,2
297,0
298,0
299,0
300,0
301,0
302,0
303,2
304,2
305,2
306,2
307,2
308,0
309,2
310,0
311,0
312,0
313,2
314,2
315,2
316,0
317,0
318,2
319,2
320,0
321,2
322,0
323,1
324,0
325,0
326,2
327,0
328,0
329,0
330,0
331,0
332,0
333,2
334,0
335,0
336,2
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,2
346,2
347,0
348,0
349,2
350,0
351,2
352,0
353,2
354,0
355,2
356,2
357,0
358,0
359,2
360,0
361,0
362,2
363,0
364,0
365,2
366,0
367,2
368,2
369,2
370,2
371,0
372,2
373,0
374,2
375,2
376,0
377,2
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,2
386,2
387,2
388,0
389,0
390,0
391,0
392,0
393,1
394,2
395,2
396,0
397,2
398,0
399,2
400,2
401,0
402,0
403,0
404,2
405,0
406,0
407,0
408,0
409,2
410,2
411,0
412,2
413,2
414,0
415,0
416,0
417,2
418,2
419,0
420,0
421,2
422,0
423,2
424,0
425,2
426,2
427,2
428,0
429,0
430,0
431,2
432,0
433,0
434,0
435,0
436,2
437,0
438,0
439,0
440,2
441,2
442,0
443,0
444,0
445,2
446,0
447,0
448,2
449,2
450,2
451,0
452,0
453,2
454,2
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,2
463,2
464,1
465,2
466,1
467,0
468,2
469,1
470,2
471,2
472,2
473,1
474,0
475,1
476,2
477,2
478,1
479,2
480,1
481,2
482,0
483,2
484,2
485,1
486,2
487,1
488,0
489,1
490,1
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,1
499,2
500,2
501,2
502,1
503,2
504,2
505,2
506,2
507,2
508,1
509,2
510,1
511,2
512,1
513,0
514,1
515,1
516,1
517,2
518,0
519,2
520,0
521,2
522,0
523,2
524,2
525,2
526,2
527,1
528,0
529,1
530,2
531,1
532,2
533,0
534,1
535,1
536,2
537,2
538,2
539,2
540,2
541,0
542,2
543,2
544,2
545,1
546,2
547,2
548,1
549,1
550,2
551,0
552,2
553,0
554,2
555,2
556,1
557,1
558,1
559,2
560,2
561,2
562,1
563,0
564,2
565,0
566,2
567,2
568,1
569,2
570,2
571,0
572,0
573,0
574,0
575,2
576,0
577,0
578,1
579,2
580,1
581,1
582,2
583,0
584,2
585,2
586,2
587,2
588,0
589,2
590,2
591,2
592,2
593,2
594,1
595,1
596,1
597,2
598,2
599,0
600,2
601,0
602,2
603,1
604,0
605,1
606,1
607,0
608,1
609,2
610,1
611,2
612,2
613,2
614,0
615,2
616,2
617,2
618,1
619,2
620,2
621,1
622,2
623,0
624,2
625,2
626,1
627,2
628,1
629,0
630,2
631,1
632,0
633,2
634,1
635,1
636,1
637,2
638,1
639,1
640,2
641,2
642,2
643,1
644,1
645,1
646,2
647,2
648,2
649,2
650,2
651,1
652,2
653,1
654,1
655,2
656,2
657,1
658,2
659,0
660,0
661,0
662,2
663,2
664,0
665,1
666,1
667,2
668,2
669,1
670,2
671,2
672,2
673,0
674,2
675,2
676,0
677,2
678,0
679,2
680,1
681,2
682,2
683,0
684,1
685,2
686,1
687,1
688,2
689,2
690,2
691,0
692,1
693,2
694,2
695,2
696,2
697,2
698,2
699,2
700,1
701,2
702,2
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,2
735,2
736,2
737,2
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,1
758,2
759,2
760,1
761,2
762,2
763,2
764,2
765,1
766,1
767,2
768,0
769,2
770,2
771,2
772,0
773,2
774,1
775,2
776,1
777,2
778,2
779,1
780,1
781,2
782,1
783,2
784,0
785,0
786,0
787,2
788,2
789,2
790,2
791,0
792,0
793,2
794,2
795,2
796,0
797,2
798,2
799,1
800,0
801,0
802,2
803,2
804,0
805,2
806,2
807,1
808,1
809,1
810,1
811,1
812,2
813,2
814,2
815,0
816,2
817,1
818,1
819,2
820,2
821,1
822,1
823,2
824,2
825,2
826,2
827,2
828,1
829,2
830,2
831,2
832,0
833,2
834,1
835,2
836,2
837,1
838,1
839,1
840,1
841,2
842,1
843,2
844,1
845,1
846,2
847,2
848,2
849,2
850,2
851,0
852,2
853,2
854,2
855,0
856,1
857,2
858,2
859,2
860,2
861,0
862,1
863,1
864,2
865,1
866,1
867,1
868,2
869,1
870,2
871,2
872,2
873,1
874,2
875,2
876,2
877,2
878,1
879,2
880,0
881,1
882,0
883,1
884,2
885,2
886,2
887,2
888,1
889,0
890,0
891,0
892,1
893,2
894,2
895,2
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,2
904,2
905,1
906,1
907,0
908,2
909,2
910,2
911,2
912,1
913,2
914,2
915,0
916,1
917,2
918,0
919,2
920,1
921,2
922,2
923,2
924,1
925,0
926,2
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,2
935,2
936,2
937,2
938,2
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,2
956,2
957,2
958,2
959,2
960,2
961,1
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,2
972,2
973,0
974,2
975,2
976,2
977,2
978,2
979,2
980,2
981,2
982,2
983,2
984,2
985,2
986,2
987,2
988,2
989,2
990,2
991,2
992,2
993,2
994,2
995,2
996,2
997,2
998,2
999,2
1000,2
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,2
1010,2
1011,2
1012,2
1013,2
1014,2
1015,2
1016,0
1017,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,2
1033,2
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,0
1045,2
1046,2
1047,2
1048,2
1049,2
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,2
1059,2
1060,2
1061,2
1062,2
1063,2
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,0
1083,2
1084,2
1085,2
1086,2
1087,2
1088,2
1089,2
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,0
1097,2
1098,2
1099,2
1100,2
1101,2
1102,2
1103,2
1104,2
1105,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,2
1114,2
1115,2
1116,2
1117,2
1118,2
1119,0
1120,2
1121,2
1122,2
1123,2
1124,0
1125,2
1126,2
1127,2
1128,1
1129,0
1130,2
1131,2
1132,2
1133,2
1134,2
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,2
1148,0
1149,2
1150,2
1151,2
1152,2
1153,2
1154,2
1155,2
1156,2
1157,2
1158,2
